,entity_name,cik,fy,manifold_distance,manifold_distance_pct,net_margin,op_margin,pe_ratio,pb_ratio,revenue,net_income,revenue_growth,debt_to_equity,roe,op_cash_yield,dev_net_margin,dev_log_revenue,dev_log_public_float,dev_debt_to_equity,dev_roe,dev_op_cash_yield,dev_revenue_growth
0,FAB UNIVERSAL CORP.,1074909,2011,22.12255561333915,100.0,-1.5259253630269454,-0.27647920550648397,,1.2374235643571398,6540217.0,-9979883.0,,0.0,-0.7244156862079,-0.09310299011897182,-10.0,-9.416700079128013,-0.8274922662601627,-0.22018863347964457,10.0,10.0,0.0
1,"NEUROMETRIX, INC.",1289850,2012,22.111720519270353,99.99866154484494,-1.3210787073602077,-1.3229893935399692,,0.879145000092041,7575289.0,-10007553.0,-0.2713808849378774,0.0,-1.1371673994724343,-1.185956889156526,-10.0,-9.04457603692463,-0.2124192593926951,-0.4178677614740387,10.0,2.6275641241975682,-10.0
2,"Soluna Holdings, Inc",64463,2025,21.77122053855925,99.99732308968989,-1.797321398526096,-1.1333916613386277,,0.15470647992530345,29717000.0,-53411000.0,-0.2184056179479761,0.3342483660130719,-0.9974042950513539,-1.104347234098438,-10.0,-5.582654794695354,0.4710551367499995,6.0748534308099815,10.0,2.386267385304228,-10.0
3,"Leef Brands, Inc.",1711141,2025,21.26474237656729,99.99598463453482,-0.5067804915292221,-0.21820743232731574,,,34787596.0,-17629675.0,,-1.1832371608145373,2.132200436341154,-0.013077206738607251,-10.0,-5.183631105410458,1.6498008368430832,-10.0,4.753671644481744,10.0,0.0
4,CRESTWOOD EQUITY PARTNERS LP,1136352,2015,19.66143601556188,99.99464617937977,-0.633128228501975,-0.791856578547554,,0.18093652746616487,2632800000.0,-1666900000.0,-0.33029786584590337,0.9201346167764348,-0.6032061952667005,0.8814,-6.256823865470941,1.9769009065708145,0.48261368791305076,7.63009690801628,-4.617724928612886,9.43119485501521,-10.0
5,"ARMSTRONG FLOORING, INC.",1655075,2020,19.514249931862224,99.9933077242247,-0.10875512995896033,-0.1055061559507524,,0.23809523809523808,584800000.0,-63600000.0,-0.06626217467667252,0.32075471698113206,-0.2857142857142857,-0.5320754716981132,-5.536192894551206,1.9639943616238023,-1.1517797573316417,5.937154899610226,10.0,-10.0,-8.25088564538112
6,FUELCELL ENERGY INC,886128,2025,19.17238392366515,99.99196926906964,-1.1880160847738395,-1.2161454710992528,,0.14056560839289678,158162000.0,-187899000.0,0.41049834124068063,0.156749156950009,-0.2837586211583273,-1.346063026445947,-10.0,-0.35010711457037824,1.2966489175067253,1.0361873324636215,8.792910141606335,-2.4558697543521273,9.019766222735852
7,4Front Ventures Corp.,1783875,2023,18.837929919979803,99.99063081391458,-0.9405962949658747,-0.213958023297583,,,97435000.0,-91647000.0,-0.06819616318879942,-1.6343637140305232,1.7794842918721603,-0.020639519328527638,-8.760085123756944,-0.7822487806798278,3.572404880782192,-10.0,5.490317037395708,10.0,-1.7435342182204778
8,"HCA Healthcare, Inc.",860730,2017,18.547477560240015,99.98929235875951,0.6345933562428407,1.254581901489118,11.439981949458483,,3492000000.0,2216000000.0,1.1150817686250758,-4.85718483690861,-0.32559506317954745,0.21403494931166422,9.656689661101286,0.5980929218796902,2.6580601435605002,-6.525274410898292,-1.662225156143807,0.7783358845800785,10.0
9,Evolve Transition Infrastructure LP,1362705,2013,17.79133940747076,99.98795390360446,-0.647571295687093,,,0.33837980890753755,44077000.0,-28543000.0,-0.2571500800539311,0.5126131135938526,-0.2885900611698094,0.45429208764156104,-7.084809077603191,-0.7094009887613116,-0.9663716619124705,7.454110178905496,-3.047886067491606,10.0,-10.0
10,"eXp World Holdings, Inc.",1495932,2017,17.77503235557983,99.9866154484494,-0.14177015244348043,-0.14113396980936058,,9.639276771194021,156104544.0,-22130965.0,1.881246824099243,0.0,-5.194244052169248,0.10048418317825705,-6.847139957452432,-1.3812051663384373,0.8187702062247123,0.458146189655229,-10.0,1.8559201241523646,10.0
11,Willis Lease Finance Corporation,1018164,2019,17.567320525523584,99.98527699329433,0.163559487730961,0.19626307556945938,2.664295747287887,0.5089370836163933,409160000.0,66922000.0,0.17457592572922975,3.570854432005663,0.19102124234310866,1.2917274256870444,1.4385702476632714,0.7420168858126184,0.4854793499011906,10.0,10.0,10.0,1.8541210431724582
12,DIVALL INSURED INCOME PROPERTIES 2 LIMITED PARTNERSHIP,825788,2024,17.4836837052506,99.98393853813928,20.74926443197953,,0.0,0.0,370462.0,7686814.0,-0.6818736088593333,0.0,6.740241451515034,,10.0,-10.0,1.3768545155947145,0.3543779327143141,0.024966435006058996,1.9123965347333092,10.0
13,Local Bounti Corporation/DE,1840780,2024,17.323277030342872,99.98260008298422,-3.1438984739629765,-1.5461744192144318,,,38138000.0,-119902000.0,0.3839677758827158,-4.346089552238806,1.1930547263681592,-1.8161744966442952,1.776356839400219e-14,2.6408884287922025,-0.030696589609703992,-10.0,5.509421693663492,-2.6121586561774395,7.479544962924558
14,"CLARUS THERAPEUTICS HOLDINGS, INC.",1817944,2021,17.305853778248448,99.98126162782916,-2.910152611592749,-2.910152611592749,,,13957000.0,-40617000.0,,-0.0,2.551479364281676,-1.710390625,1.776356839400219e-14,1.9519645826475749,-0.2110757579270631,0.2226032903130718,9.887172094762727,-9.891012689826464,10.0
15,"IOTA COMMUNICATIONS, INC.",1095130,2018,17.12499218293253,99.9799231726741,-1.3102314614344661,-0.6771237886363559,,2.8209653842846736,12061923.0,-15803911.0,4.139707884444039,0.04054414872674447,-3.576047092578597,-0.026045892015973796,10.0,1.1677556820066872,0.2758283276394727,0.6397036385805784,-10.0,2.100352198176541,-8.210110474031968
16,BANK MUTUAL CORP,1123270,2011,16.77632012290727,99.97858471751904,-0.532374503329789,-0.51332475236443,,0.5944967660128456,89345000.0,-47565000.0,,0.0,-0.17896986503418355,0.5305822784810127,-8.794541181316772,-0.3857802730053183,-0.30319751282583657,-0.14759794805318327,-4.952226566403024,5.239817752011556,-9.637484261648526
17,"ADVANCED OXYGEN TECHNOLOGIES, INC.",352991,2012,16.685132478241513,99.97724626236398,-0.37802883042398816,0.8300968070979041,,1.1317793135761978,51959.0,-19642.0,,0.0,-0.08217172308773574,0.1942551083774433,-10.0,-8.43564070757398,-9.130868276220227,-0.27112913188940246,-2.259241530592441,1.0071147636594813,0.44606560770839976
18,GOLDEN MINERALS COMPANY,1011509,2023,16.632052940265414,99.97590780720891,-0.7688718546908848,-0.7598733544409265,,2.0222961079601016,12002000.0,-9228000.0,-0.48456087610049386,0.0,-1.8048112654019166,-0.9586073500967118,10.0,0.0998060326804112,-0.8583589676427423,-0.3461577476726754,-7.42077159384239,-5.106481466423142,-7.466822131039812
19,"SoFi Technologies, Inc.",1818874,2022,16.603838810806913,99.97456935205385,-0.8496695801599593,-0.8451985701253792,,0.7680341130031632,377096000.0,-320407000.0,0.5222793660533348,1.0533361289775047,-0.06152087651125113,-1.8139645,-10.0,0.0316788964970839,2.6270415797797604,4.237970848161869,4.844291467639572,-3.323776885589122,4.038571866686422
20,"MDwerks, Inc.",1295514,2025,16.488063287699195,99.9732308968988,-1.7150227902654365,-1.6871949143434624,,32.215928182902935,2214542.0,-3797990.0,-0.06325935570216569,0.3668833630642387,-3.7891839365315008,-0.048748377169248035,10.0,2.541374504619287,-2.7637691180388546,6.790993994113122,-0.20123188329961358,-2.2279257525898015,-2.57633072617437
21,"STAFFING 360 SOLUTIONS, INC.",1499717,2015,16.483393584280574,99.97189244174373,-0.13988090289687916,-0.057979778362582494,,3.133404902402318,128829330.0,-18020763.0,1.8141889686058472,0.023615425541043816,-2.1329590357823647,-0.17212631092259373,-6.772122406113017,-1.867600364000865,1.0789545357844297,0.2990032754219589,-10.0,0.9798262770813858,10.0
22,"HCA Healthcare, Inc.",860730,2015,16.15121487276179,99.97055398658868,1.2089721749006246,2.2470187393526406,14.015500234852043,,1761000000.0,2129000000.0,-0.952299691207541,-4.012106856165285,-0.28016844321621265,0.15865142933744428,10.0,-0.011909792918195421,2.2372737974021044,-5.698911183224003,-0.423122553364446,-0.5277923462471568,-10.0
23,AMBASE CORPORATION,20639,2012,15.841728438780182,99.96921553143362,3741.769230769231,-484.6923076923077,0.3268712867216249,0.6987372923563707,39000.0,145929000.0,3.3333333333333335,0.0,2.1376527114522603,3.4225576519916143,2.0058629704387867,-2.972592030514405,-1.1044607509247386,-0.6708127345932906,9.163853719412142,6.410045612721304,3.371327226601472
24,VS Trust,1793497,2022,15.715177392044883,99.96787707627855,-137.65574514019286,,,,440964.0,-60701228.0,,,,-2.161977183385479,-10.0,-6.414753333871571,2.2991818643204236,-0.4009382904690644,10.0,0.11172009908523871,0.5156184792510766
25,Regenerative Medical Technology Group Inc.,1760026,2020,15.704800927179388,99.9665386211235,-107.03471188410006,,,,55082.0,-5895686.0,0.8297844068697472,-0.0,0.9198253674075847,-1.2165284583490388,-0.19329932795657132,-1.3375125968731576,-3.8427339361929365,-0.12695278479646446,5.480122851854259,-10.0,10.0
26,"THE CHILDREN’S PLACE, INC.",1041859,2024,15.622302387863556,99.96520016596844,-0.09643696006509796,-0.052291782630726334,,,1602508000.0,-154541000.0,-0.16334023193502645,-5.523672247477547,17.135048231511256,2.2031643232484592,-2.2392979328892686,0.34907314711744913,-1.5101552205710276,5.142450066377983,10.0,10.0,-2.0153741770830558
